"","id","rrow","cluster","y","x","wfac","bfac","wfac3","wfac3 more"
"224",224,224,16,20,11,0,0,1,"A"
"225",225,225,16,4,8,0,0,2,"B"
"226",226,226,16,8,9,0,0,1,"A"
"227",227,227,16,19,11,1,0,2,"B"
"228",228,228,16,12,10,1,0,3,"C"
"229",229,229,16,9,9,1,0,2,"B"
"230",230,230,16,19,11,1,0,3,"C"
"231",231,231,16,8,9,1,0,3,"C"
"232",232,232,16,17,11,0,0,2,"B"
"233",233,233,16,21,11,1,0,1,"A"
"234",234,234,17,14,10,0,0,2,"B"
"235",235,235,17,10,9,1,0,2,"B"
"236",236,236,17,13,10,1,0,3,"C"
"237",237,237,17,12,10,0,0,3,"C"
"238",238,238,17,12,10,1,0,2,"B"
"239",239,239,17,11,9,0,0,2,"B"
"240",240,240,17,16,11,1,0,2,"B"
"241",241,241,17,18,11,1,0,2,"B"
"242",242,242,17,10,9,1,0,2,"B"
"243",243,243,17,10,9,1,0,3,"C"
"244",244,244,17,17,11,1,0,3,"C"
"245",245,245,17,6,8,1,0,3,"C"
"246",246,246,18,14,9,0,0,3,"C"
"247",247,247,18,12,9,1,0,1,"A"
"248",248,248,18,12,11,1,0,3,"C"
"249",249,249,18,11,10,0,0,3,"C"
"250",250,250,18,14,10,1,0,1,"A"
"251",251,251,18,13,10,1,0,2,"B"
"252",252,252,18,11,11,1,0,1,"A"
"253",253,253,18,10,12,0,0,1,"A"
"254",254,254,18,13,11,1,0,1,"A"
"255",255,255,18,12,9,0,0,1,"A"
"256",256,256,18,12,11,0,0,2,"B"
"257",257,257,18,13,11,1,0,2,"B"
"258",258,258,18,13,10,0,0,3,"C"
"259",259,259,18,14,9,0,0,2,"B"
"260",260,260,18,13,9,1,0,1,"A"
"261",261,261,18,13,12,1,0,1,"A"
"262",262,262,18,12,12,0,0,3,"C"
"263",263,263,19,12,10,0,1,1,"A"
"264",264,264,19,16,11,0,1,2,"B"
"265",265,265,19,12,10,0,1,2,"B"
"266",266,266,19,15,10,0,1,1,"A"
"267",267,267,19,17,10,1,1,3,"C"
"268",268,268,19,11,10,0,1,1,"A"
"269",269,269,19,17,9,1,1,2,"B"
"270",270,270,19,10,10,0,1,2,"B"
"271",271,271,19,14,9,1,1,3,"C"
"272",272,272,19,23,11,1,1,2,"B"
"273",273,273,19,17,9,1,1,1,"A"
"274",274,274,19,14,9,1,1,1,"A"
"275",275,275,19,20,12,0,1,2,"B"
"276",276,276,19,13,10,0,1,3,"C"
"277",277,277,19,22,11,1,1,2,"B"
"278",278,278,19,14,10,0,1,2,"B"
"279",279,279,19,21,11,1,1,3,"C"
"280",280,280,19,14,9,1,1,3,"C"
"281",281,281,20,4,9,0,0,3,"C"
"282",282,282,20,9,10,0,0,1,"A"
"283",283,283,20,14,11,0,0,3,"C"
"284",284,284,20,3,9,0,0,1,"A"
"285",285,285,20,14,11,0,0,2,"B"
"286",286,286,20,11,11,0,0,2,"B"
"287",287,287,20,15,11,1,0,3,"C"
"288",288,288,20,17,12,1,0,3,"C"
"289",289,289,20,8,10,0,0,1,"A"
"290",290,290,20,15,11,1,0,2,"B"
"291",291,291,20,8,10,0,0,3,"C"
"292",292,292,20,8,9,0,0,2,"B"
"293",293,293,20,4,9,1,0,3,"C"
"294",294,294,20,5,9,1,0,2,"B"
"295",295,295,20,13,11,1,0,3,"C"
"296",296,296,20,10,10,1,0,2,"B"
"297",297,297,20,10,10,0,0,3,"C"
"298",298,298,20,15,11,1,0,1,"A"
"299",299,299,20,6,9,0,0,3,"C"
"300",300,300,21,9,9,0,1,1,"A"
"301",301,301,21,12,9,1,1,1,"A"
"302",302,302,21,25,10,1,1,1,"A"
"303",303,303,21,5,8,0,1,1,"A"
"304",304,304,21,32,11,1,1,1,"A"
"305",305,305,21,15,10,0,1,3,"C"
"306",306,306,21,22,10,1,1,2,"B"
"307",307,307,21,16,10,0,1,3,"C"
"308",308,308,21,49,13,1,1,2,"B"
"309",309,309,21,2,8,0,1,3,"C"
"310",310,310,21,16,10,0,1,3,"C"
"311",311,311,21,28,11,0,1,2,"B"
"312",312,312,22,12,10,1,0,3,"C"
"313",313,313,22,10,9,0,0,3,"C"
"314",314,314,22,6,9,0,0,3,"C"
"315",315,315,22,17,11,1,0,1,"A"
"316",316,316,22,14,10,0,0,2,"B"
"317",317,317,22,8,9,0,0,2,"B"
"318",318,318,22,-1,8,1,0,3,"C"
"319",319,319,22,22,11,1,0,2,"B"
"320",320,320,22,16,11,1,0,2,"B"
"321",321,321,22,13,10,0,0,1,"A"
"322",322,322,22,16,10,0,0,2,"B"
"323",323,323,22,4,9,1,0,1,"A"
"324",324,324,22,20,11,1,0,1,"A"
"325",325,325,22,12,10,0,0,2,"B"
"326",326,326,22,20,11,1,0,3,"C"
"327",327,327,22,12,10,0,0,1,"A"
"328",328,328,23,9,9,0,0,2,"B"
"329",329,329,23,11,11,0,0,3,"C"
"330",330,330,23,8,10,0,0,1,"A"
"331",331,331,23,10,10,0,0,1,"A"
"332",332,332,23,11,9,0,0,2,"B"
"333",333,333,23,11,10,1,0,2,"B"
"334",334,334,23,12,11,0,0,1,"A"
"335",335,335,23,10,10,0,0,1,"A"
"336",336,336,23,9,10,1,0,3,"C"
"337",337,337,23,11,11,1,0,1,"A"
"338",338,338,23,10,9,1,0,2,"B"
"339",339,339,23,7,8,0,0,1,"A"
"340",340,340,23,12,11,1,0,3,"C"
"341",341,341,23,9,9,0,0,1,"A"
"342",342,342,23,9,10,0,0,1,"A"
"343",343,343,23,11,10,0,0,2,"B"
"344",344,344,24,10,9,0,0,3,"C"
"345",345,345,24,10,9,1,0,2,"B"
"346",346,346,24,11,9,1,0,3,"C"
"347",347,347,24,9,9,0,0,2,"B"
"348",348,348,24,10,9,0,0,3,"C"
"349",349,349,24,11,9,0,0,1,"A"
"350",350,350,24,14,11,0,0,3,"C"
"351",351,351,24,14,11,0,0,3,"C"
"352",352,352,24,8,9,1,0,3,"C"
"353",353,353,24,11,10,0,0,2,"B"
"354",354,354,24,12,10,1,0,3,"C"
"355",355,355,24,9,9,1,0,3,"C"
"356",356,356,24,9,9,0,0,3,"C"
"357",357,357,24,11,10,0,0,3,"C"
"358",358,358,24,10,9,0,0,1,"A"
"359",359,359,25,14,9,1,1,3,"C"
"360",360,360,25,18,10,1,1,3,"C"
"361",361,361,25,14,9,1,1,3,"C"
"362",362,362,25,18,11,1,1,3,"C"
"363",363,363,25,19,11,1,1,1,"A"
"364",364,364,25,8,10,0,1,1,"A"
"365",365,365,25,10,9,0,1,1,"A"
"366",366,366,25,11,10,0,1,3,"C"
"367",367,367,25,7,8,0,1,2,"B"
"368",368,368,25,15,10,1,1,1,"A"
"369",369,369,25,12,10,0,1,2,"B"
"370",370,370,25,14,8,1,1,1,"A"
"371",371,371,25,15,11,0,1,1,"A"
"372",372,372,25,10,9,0,1,2,"B"
"373",373,373,25,14,11,0,1,3,"C"
"374",374,374,25,11,10,0,1,2,"B"
"375",375,375,26,17,11,1,1,2,"B"
"376",376,376,26,22,8,1,1,2,"B"
"377",377,377,26,20,10,1,1,3,"C"
"378",378,378,26,11,12,0,1,2,"B"
"379",379,379,26,18,10,1,1,3,"C"
"380",380,380,26,14,11,0,1,3,"C"
"381",381,381,26,15,10,0,1,2,"B"
"382",382,382,26,21,10,1,1,3,"C"
"383",383,383,26,15,10,0,1,1,"A"
"384",384,384,26,20,10,1,1,2,"B"
"385",385,385,26,19,11,1,1,2,"B"
"386",386,386,26,21,9,1,1,2,"B"
"387",387,387,27,22,11,0,1,1,"A"
"388",388,388,27,10,9,1,1,2,"B"
"389",389,389,27,11,10,0,1,1,"A"
"390",390,390,27,6,9,0,1,1,"A"
"391",391,391,27,23,11,0,1,2,"B"
"392",392,392,27,16,10,0,1,2,"B"
"393",393,393,27,8,9,1,1,1,"A"
"394",394,394,27,26,11,1,1,2,"B"
"395",395,395,27,3,8,1,1,2,"B"
"396",396,396,27,20,10,1,1,2,"B"
"397",397,397,27,6,9,0,1,2,"B"
"398",398,398,27,29,11,1,1,2,"B"
"399",399,399,27,16,10,0,1,1,"A"
"400",400,400,27,9,9,1,1,3,"C"
"401",401,401,27,17,10,0,1,3,"C"
"402",402,402,27,15,10,0,1,3,"C"
"403",403,403,28,9,10,1,0,2,"B"
"404",404,404,28,9,9,1,0,3,"C"
"405",405,405,28,14,10,1,0,1,"A"
"406",406,406,28,13,10,0,0,1,"A"
"407",407,407,28,7,8,0,0,3,"C"
"408",408,408,28,12,10,1,0,1,"A"
"409",409,409,28,14,11,0,0,2,"B"
"410",410,410,28,13,10,1,0,3,"C"
"411",411,411,28,10,10,1,0,1,"A"
"412",412,412,28,6,8,1,0,3,"C"
"413",413,413,28,18,12,1,0,1,"A"
"414",414,414,28,7,9,0,0,2,"B"
"415",415,415,28,7,9,1,0,2,"B"
"416",416,416,28,13,10,1,0,2,"B"
"417",417,417,28,10,10,0,0,3,"C"
"418",418,418,28,7,8,0,0,3,"C"
"419",419,419,28,12,10,1,0,2,"B"
"420",420,420,29,15,10,0,1,1,"A"
"421",421,421,29,23,11,1,1,1,"A"
"422",422,422,29,9,9,0,1,1,"A"
"423",423,423,29,16,10,1,1,3,"C"
"424",424,424,29,12,9,1,1,1,"A"
"425",425,425,29,18,10,0,1,3,"C"
"426",426,426,29,24,11,0,1,2,"B"
"427",427,427,29,15,9,1,1,3,"C"
"428",428,428,29,10,9,0,1,3,"C"
"429",429,429,29,16,10,1,1,2,"B"
"430",430,430,29,12,9,1,1,3,"C"
"431",431,431,29,18,10,1,1,1,"A"
"432",432,432,29,26,12,0,1,3,"C"
"433",433,433,29,14,9,1,1,2,"B"
"434",434,434,30,13,11,1,0,1,"A"
"435",435,435,30,13,11,0,0,2,"B"
"436",436,436,30,13,9,0,0,2,"B"
"437",437,437,30,11,9,0,0,2,"B"
"438",438,438,30,13,10,0,0,1,"A"
"439",439,439,30,11,12,0,0,2,"B"
"440",440,440,30,13,12,0,0,1,"A"
"441",441,441,30,15,10,1,0,1,"A"
"442",442,442,30,13,11,0,0,2,"B"
"443",443,443,30,12,8,1,0,1,"A"
"444",444,444,30,13,11,1,0,2,"B"
"445",445,445,30,13,10,0,0,2,"B"
"446",446,446,30,12,12,0,0,2,"B"
"447",447,447,30,13,9,0,0,3,"C"
"448",448,448,30,14,11,0,0,3,"C"
"449",449,449,31,0,8,1,0,2,"B"
"450",450,450,31,6,9,0,0,3,"C"
"451",451,451,31,7,11,1,0,2,"B"
"452",452,452,31,9,11,0,0,2,"B"
"453",453,453,31,5,9,1,0,2,"B"
"454",454,454,31,7,11,0,0,2,"B"
"455",455,455,31,8,11,1,0,2,"B"
"456",456,456,31,11,12,1,0,2,"B"
"457",457,457,31,6,11,0,0,2,"B"
"458",458,458,31,4,9,1,0,1,"A"
"459",459,459,31,10,11,0,0,3,"C"
"460",460,460,31,4,9,1,0,1,"A"
"461",461,461,31,5,9,0,0,3,"C"
"462",462,462,31,5,9,1,0,1,"A"
"463",463,463,31,6,10,0,0,2,"B"
"464",464,464,31,7,11,0,0,3,"C"
"465",465,465,31,8,11,0,0,2,"B"
"466",466,466,31,6,10,0,0,3,"C"
"467",467,467,31,7,10,0,0,2,"B"
"468",468,468,32,10,10,1,0,1,"A"
"469",469,469,32,5,8,1,0,1,"A"
"470",470,470,32,7,9,0,0,3,"C"
"471",471,471,32,8,10,1,0,2,"B"
"472",472,472,32,10,10,0,0,3,"C"
"473",473,473,32,8,10,0,0,2,"B"
"474",474,474,32,12,11,1,0,2,"B"
"475",475,475,32,13,11,0,0,3,"C"
"476",476,476,32,9,9,0,0,3,"C"
"477",477,477,32,8,9,1,0,1,"A"
"478",478,478,33,18,11,1,1,1,"A"
"479",479,479,33,18,12,1,1,3,"C"
"480",480,480,33,13,10,0,1,1,"A"
"481",481,481,33,12,9,0,1,3,"C"
"482",482,482,33,16,12,1,1,3,"C"
"483",483,483,33,13,8,0,1,2,"B"
"484",484,484,33,10,11,0,1,3,"C"
"485",485,485,33,12,11,0,1,2,"B"
"486",486,486,33,13,9,0,1,2,"B"
"487",487,487,33,17,11,1,1,2,"B"
"488",488,488,33,17,9,1,1,2,"B"
"489",489,489,33,12,10,0,1,3,"C"
"490",490,490,33,12,10,0,1,1,"A"
"491",491,491,33,18,9,1,1,3,"C"
"492",492,492,33,12,10,0,1,2,"B"
"493",493,493,33,14,10,0,1,2,"B"
"494",494,494,34,13,10,0,1,1,"A"
"495",495,495,34,14,11,0,1,1,"A"
"496",496,496,34,11,8,0,1,1,"A"
"497",497,497,34,17,10,1,1,3,"C"
"498",498,498,34,14,10,0,1,3,"C"
"499",499,499,34,18,11,1,1,2,"B"
"500",500,500,34,20,11,1,1,1,"A"
"501",501,501,34,14,11,0,1,2,"B"
"502",502,502,34,9,9,0,1,1,"A"
"503",503,503,34,19,11,1,1,3,"C"
"504",504,504,34,13,11,0,1,3,"C"
"505",505,505,34,17,10,1,1,1,"A"
"506",506,506,34,20,11,1,1,2,"B"
"507",507,507,34,18,11,1,1,1,"A"
"508",508,508,34,14,12,0,1,3,"C"
"509",509,509,35,18,10,1,1,3,"C"
"510",510,510,35,8,9,1,1,2,"B"
"511",511,511,35,27,11,1,1,2,"B"
"512",512,512,35,12,10,0,1,2,"B"
"513",513,513,35,13,10,0,1,2,"B"
"514",514,514,35,17,10,1,1,1,"A"
"515",515,515,35,21,11,0,1,1,"A"
"516",516,516,35,18,10,1,1,2,"B"
"517",517,517,35,18,11,0,1,2,"B"
"518",518,518,35,18,11,0,1,2,"B"
"519",519,519,35,14,10,0,1,1,"A"
"520",520,520,35,13,9,1,1,1,"A"
"521",521,521,35,5,8,1,1,1,"A"
"522",522,522,35,14,9,1,1,1,"A"
"523",523,523,35,7,8,1,1,3,"C"
"524",524,524,35,18,11,0,1,2,"B"
"525",525,525,35,19,10,1,1,2,"B"
"526",526,526,36,21,12,1,0,2,"B"
"527",527,527,36,5,9,0,0,3,"C"
"528",528,528,36,11,10,0,0,1,"A"
"529",529,529,36,8,9,0,0,3,"C"
"530",530,530,36,10,10,1,0,2,"B"
"531",531,531,36,12,10,0,0,1,"A"
"532",532,532,36,14,10,0,0,2,"B"
"533",533,533,36,8,9,1,0,1,"A"
"534",534,534,36,10,9,1,0,1,"A"
"535",535,535,36,9,9,0,0,2,"B"
"536",536,536,36,2,8,1,0,2,"B"
"537",537,537,36,11,10,0,0,3,"C"
"538",538,538,36,8,9,1,0,2,"B"
"539",539,539,36,10,10,0,0,2,"B"
"540",540,540,37,22,10,1,1,3,"C"
"541",541,541,37,17,9,1,1,2,"B"
"542",542,542,37,17,9,1,1,3,"C"
"543",543,543,37,11,9,0,1,3,"C"
"544",544,544,37,7,9,0,1,3,"C"
"545",545,545,37,27,12,0,1,1,"A"
"546",546,546,37,12,9,0,1,3,"C"
"547",547,547,37,17,10,0,1,2,"B"
"548",548,548,37,18,10,0,1,3,"C"
"549",549,549,37,29,11,1,1,2,"B"
"550",550,550,38,9,11,0,1,2,"B"
"551",551,551,38,11,9,0,1,1,"A"
"552",552,552,38,11,11,0,1,1,"A"
"553",553,553,38,16,11,1,1,1,"A"
"554",554,554,38,10,11,0,1,1,"A"
"555",555,555,38,11,11,0,1,1,"A"
"556",556,556,38,12,11,0,1,2,"B"
"557",557,557,38,8,10,0,1,1,"A"
"558",558,558,38,10,10,0,1,3,"C"
"559",559,559,38,11,9,0,1,1,"A"
"560",560,560,38,16,9,1,1,2,"B"
"561",561,561,38,10,12,0,1,2,"B"
"562",562,562,38,12,11,0,1,3,"C"
"563",563,563,38,15,9,1,1,1,"A"
"564",564,564,38,14,10,1,1,1,"A"
"565",565,565,38,14,9,1,1,3,"C"
"566",566,566,38,9,10,0,1,1,"A"
"567",567,567,38,17,8,1,1,1,"A"
"568",568,568,39,12,10,1,0,1,"A"
"569",569,569,39,6,11,1,0,3,"C"
"570",570,570,39,12,9,0,0,2,"B"
"571",571,571,39,14,9,0,0,3,"C"
"572",572,572,39,12,10,0,0,1,"A"
"573",573,573,39,11,10,1,0,1,"A"
"574",574,574,39,12,10,0,0,3,"C"
"575",575,575,39,11,10,0,0,1,"A"
"576",576,576,39,9,11,0,0,2,"B"
"577",577,577,39,7,11,0,0,2,"B"
"578",578,578,39,7,11,0,0,2,"B"
"579",579,579,40,2,9,1,0,3,"C"
"580",580,580,40,30,12,0,0,1,"A"
"581",581,581,40,-3,8,1,0,1,"A"
"582",582,582,40,29,12,1,0,2,"B"
"583",583,583,40,9,10,0,0,1,"A"
"584",584,584,40,23,11,1,0,2,"B"
"585",585,585,40,0,9,0,0,1,"A"
"586",586,586,40,23,11,0,0,3,"C"
"587",587,587,40,16,10,0,0,3,"C"
"588",588,588,40,2,9,0,0,2,"B"
"589",589,589,40,10,10,0,0,2,"B"
"590",590,590,40,4,9,0,0,1,"A"
"591",591,591,40,19,11,1,0,3,"C"
"592",592,592,40,16,11,0,0,2,"B"
"593",593,593,40,6,9,1,0,1,"A"
"594",594,594,40,10,10,1,0,1,"A"
"595",595,595,40,-1,9,0,0,2,"B"
"596",596,596,40,8,10,1,0,1,"A"
"597",597,597,41,14,10,1,0,3,"C"
"598",598,598,41,12,10,0,0,3,"C"
"599",599,599,41,13,9,1,0,3,"C"
"600",600,600,41,15,11,0,0,3,"C"
"601",601,601,41,14,9,0,0,1,"A"
"602",602,602,41,14,9,1,0,3,"C"
"603",603,603,41,12,10,0,0,2,"B"
"604",604,604,41,15,12,0,0,1,"A"
"605",605,605,41,15,10,0,0,3,"C"
