"decision";"reward";"engagment";"sat"
-0.5;0.5;8.85738774607442;18.1339331682576
-0.5;-0.5;10.0430957285628;20.0080206028798
-0.5;0.5;9.28802636702866;18.3055421385403
-0.5;-0.5;9.86207789484142;18.3264519487221
-0.5;0.5;11.0447341613521;19.4016100339189
-0.5;-0.5;9.37323683898821;19.234310450157
-0.5;0.5;9.86816449529909;20.2679523089774
-0.5;-0.5;10.0390761645405;20.3229815524683
-0.5;0.5;11.226618914321;20.3017863428015
-0.5;-0.5;8.69708847836949;19.9869608958736
-0.5;0.5;11.6025715132918;22.7404158095849
-0.5;-0.5;11.1366026532841;23.0517292450466
-0.5;0.5;12.2067789486247;21.5904841851906
-0.5;-0.5;9.09385803021769;20.14735750479
-0.5;0.5;11.1740625783332;22.0583708099998
-0.5;-0.5;9.16036791559893;19.6398859337571
-0.5;0.5;9.31830363128628;19.4356659683983
-0.5;-0.5;8.98698029057594;19.3092043123552
-0.5;0.5;12.912253446713;21.7476273123356
-0.5;-0.5;8.53920503006719;18.4580021571967
-0.5;0.5;11.6997694052348;21.6057487346157
-0.5;-0.5;9.49459065964644;18.8884718976229
-0.5;0.5;9.74900797597219;20.7226246203651
-0.5;-0.5;9.07445498738276;19.5045768898077
-0.5;0.5;9.15860280015197;20.1204695310256
-0.5;-0.5;9.35519581959821;19.9626947277502
-0.5;0.5;10.6789126894366;20.8791105710012
-0.5;-0.5;9.00241353372729;17.8695055368603
-0.5;0.5;11.0591290210222;18.9105203226669
-0.5;-0.5;8.95789868081366;19.173299964511
-0.5;0.5;8.85738774607442;18.1339331682576
-0.5;-0.5;10.0430957285628;20.0080206028798
-0.5;0.5;9.28802636702866;18.3055421385403
-0.5;-0.5;9.86207789484142;18.3264519487221
-0.5;0.5;11.0447341613521;19.4016100339189
-0.5;-0.5;9.37323683898821;19.234310450157
-0.5;0.5;9.86816449529909;20.2679523089774
-0.5;-0.5;10.0390761645405;20.3229815524683
-0.5;0.5;11.226618914321;20.3017863428015
-0.5;-0.5;8.69708847836949;19.9869608958736
-0.5;0.5;11.6025715132918;22.7404158095849
-0.5;-0.5;11.1366026532841;23.0517292450466
-0.5;0.5;12.2067789486247;21.5904841851906
-0.5;-0.5;9.09385803021769;20.14735750479
-0.5;0.5;11.1740625783332;22.0583708099998
-0.5;-0.5;9.16036791559893;19.6398859337571
