"";"y";"x1";"x2";"i";"cluster"
"88";0;-0,577;-0,881;2;"2"
"89";0;0,246;-1,224;2;"2"
"90";1;-1,268;1,333;2;"2"
"91";0;-1,517;0,811;2;"2"
"92";1;0,14;-0,041;2;"2"
"93";1;0,715;0,029;2;"2"
"94";1;0,124;1,08;2;"2"
"95";1;0,452;-0,828;2;"2"
"96";0;-0,423;0,792;2;"2"
"97";0;-0,626;0,06;2;"2"
"98";1;-0,234;0,284;2;"2"
"99";1;-0,748;-0,588;2;"2"
"100";1;2,323;-1,146;2;"2"
"101";1;-0,173;0,023;2;"2"
"102";1;-0,515;0,386;2;"2"
"103";0;1,058;-0,009;2;"2"
"104";1;-0,169;0,979;2;"2"
"105";0;-0,992;0,458;2;"2"
"106";0;0,628;-0,287;2;"2"
"107";1;1,108;0,004;2;"2"
"108";1;0,301;0,048;2;"2"
"109";1;0,885;-0,237;2;"2"
"110";1;-0,338;-1,336;2;"2"
"111";0;-1,201;0,144;2;"2"
"112";0;1,046;-2,439;2;"2"
"113";1;2,498;-0,038;2;"2"
"114";1;1,468;1,501;2;"2"
"115";1;0,945;-0,211;2;"2"
"116";1;-0,426;0,93;2;"2"
"117";0;-1,269;0,74;2;"2"
"118";1;0,23;-0,377;2;"2"
"119";0;-0,161;-1,069;2;"2"
"120";1;0,296;1,757;2;"2"
"121";0;-0,772;1,076;2;"2"
"122";1;2,068;0,214;2;"2"
"123";1;-0,552;0,985;2;"2"
"124";1;1,852;0,164;2;"2"
"125";1;0,055;-0,337;2;"2"
"126";1;1,046;-0,891;2;"2"
"127";0;-2,685;0,206;2;"2"
"128";0;-1,845;1,987;2;"2"
"129";1;-1,826;-1,076;2;"2"
"130";1;1,111;0,84;2;"2"
"131";1;-0,055;-0,015;2;"2"
"132";1;0,311;-1,191;2;"2"
"133";0;-0,764;-0,309;2;"2"
"134";0;-1,583;-0,045;2;"2"
"135";1;1,063;0,294;2;"2"
"136";1;0,291;0,433;2;"2"
"137";0;-1,782;-0,901;2;"2"
"138";1;0,051;1,434;2;"2"
"139";0;-2,629;0,445;2;"2"
"140";0;-0,243;-0,842;2;"2"
"141";1;-0,091;-0,995;2;"2"
"142";1;0,53;1,084;2;"2"
"143";1;-0,027;0,42;2;"2"
"144";0;-1,535;0,112;2;"2"
"145";1;-0,323;-1,165;2;"2"
"146";0;0,018;-1,422;2;"2"
"147";1;0,142;0,682;2;"2"
"148";0;-2,17;-0,414;2;"2"
"149";1;0,139;-0,687;2;"2"
"150";1;0,505;-1,665;2;"2"
"151";0;-0,061;-1,106;2;"2"
"152";0;-0,253;-0,576;2;"2"
"153";1;0,506;0,736;2;"2"
"154";0;-0,642;0,408;2;"2"
"155";0;-0,682;-0,372;3;"3"
"156";1;0,26;0,082;3;"3"
"157";1;0,53;1,226;3;"3"
"158";0;0,861;-2,253;3;"3"
"159";1;1,068;0,422;3;"3"
"160";0;0,571;-1,836;3;"3"
"161";0;0,662;0,515;3;"3"
"162";0;-0,656;-0,548;3;"3"
"163";0;-0,546;-0,073;3;"3"
"164";0;0,34;-0,558;3;"3"
"165";1;1,847;0,401;3;"3"
"166";0;-0,19;-0,527;3;"3"
"167";1;0,344;0,919;3;"3"
"168";1;0,04;-0,07;3;"3"
"169";0;-2,434;-0,883;3;"3"
"170";1;2,16;1,302;3;"3"
"171";1;1,13;0,244;3;"3"
"172";0;-0,76;0,221;3;"3"
"173";1;0,89;-0,523;3;"3"
"174";0;1,418;-0,829;3;"3"
"175";1;0,362;0,091;3;"3"
"176";0;-0,067;-1,16;3;"3"
"177";0;0,547;-1,091;3;"3"
"178";1;-0,098;-1,141;3;"3"
"179";1;-1,691;-0,39;3;"3"
"180";1;2,547;0,555;3;"3"
"181";0;1,423;-0,804;3;"3"
"182";0;-0,923;-1,33;3;"3"
"183";1;1,039;-0,637;3;"3"
"184";0;-0,695;-1,093;3;"3"
"185";0;0,068;-0,048;3;"3"
"186";0;-0,696;-0,043;3;"3"
"187";0;2,096;-0,595;3;"3"
"188";0;-0,448;1,347;3;"3"
"189";1;-0,878;-1,044;3;"3"
"190";0;0,055;-0,082;3;"3"
"191";1;0,615;1,505;3;"3"
"192";0;0,346;-1,829;3;"3"
"193";0;-0,003;0,076;3;"3"
"194";0;0,803;-2,617;3;"3"
"195";0;1,89;-1,505;3;"3"
"196";0;1,565;-0,157;3;"3"
"197";1;0,855;0,741;3;"3"
"198";1;0,874;0,486;3;"3"
"199";0;-1,421;0,134;3;"3"
"200";0;-0,155;0,56;3;"3"
"201";1;0,392;0,092;3;"3"
"202";1;0,332;1,573;3;"3"
"203";0;-0,111;-0,061;3;"3"
"204";1;-0,614;1,154;3;"3"
"205";0;-1,126;-1,705;3;"3"
"206";0;-0,149;-1,562;3;"3"
"207";0;-0,654;-1,297;3;"3"
"208";0;0,217;-0,774;3;"3"
"209";1;0,487;0,234;3;"3"
"210";1;0,18;0,32;3;"3"
"211";0;-1,223;-0,146;3;"3"
"212";0;-1,043;-0,945;3;"3"
"213";1;-2,446;-2,01;3;"3"
"214";0;-0,626;-0,534;3;"3"
"215";1;-0,145;0,089;3;"3"
"216";1;1,113;-0,317;3;"3"
"217";1;0,514;-0,174;3;"3"
"218";1;-0,362;0,39;3;"3"
"219";0;-0,286;1,901;3;"3"
"220";0;1,084;-1,813;3;"3"
"221";0;0,589;-0,349;3;"3"
"222";1;1,611;1,838;3;"3"
"223";1;1,014;0,129;3;"3"
"224";0;0,146;0,343;3;"3"
"225";0;-0,343;-1,471;3;"3"
"226";0;0,92;-1,435;3;"3"
"227";1;-0,062;-0,196;3;"3"
"228";0;-0,103;-0,154;3;"3"
"229";1;-0,127;-0,546;3;"3"
"230";0;0,311;-1,337;3;"3"
"231";0;0,055;0,648;3;"3"
"232";0;-0,906;-0,958;3;"3"
"233";1;0,028;0,463;3;"3"
"234";0;-1,146;1,335;3;"3"
"235";0;1,058;0,065;3;"3"
"236";1;0,332;0,7;3;"3"
"237";1;0,357;1,11;4;"4"
"238";0;-2,628;2,161;4;"4"
"239";0;1,661;0,15;4;"4"
"240";0;0,95;-2,032;4;"4"
"241";0;0,862;-1,402;4;"4"
"242";1;-1,988;-1,115;4;"4"
"243";0;-0,403;0,612;4;"4"
"244";0;-1,136;0,035;4;"4"
"245";0;0,041;1,662;4;"4"
"246";0;1,372;-0,661;4;"4"
"247";0;-0,621;0,343;4;"4"
"248";1;0,28;0,904;4;"4"
"249";1;0,626;-1,11;4;"4"
"250";0;-0,335;0,514;4;"4"
"251";0;0,47;-1,517;4;"4"
"252";0;-0,552;0,462;4;"4"
"253";1;0,276;0,071;4;"4"
"254";1;-0,36;-1,491;4;"4"
"255";0;-0,364;0,702;4;"4"
"256";1;0,251;-0,753;4;"4"
"257";0;-1,509;0,317;4;"4"
"258";0;-1,505;-0,919;4;"4"
"259";0;-0,091;-0,873;4;"4"
"260";0;0,039;0,628;4;"4"
"261";1;0,708;0,804;4;"4"
"262";0;-0,211;-1,274;4;"4"
"263";1;0,548;-0,784;4;"4"
"264";1;1,227;-0,205;4;"4"
"265";0;-0,241;1,22;4;"4"
"266";1;0,376;0,417;4;"4"
"267";0;-0,498;0,335;4;"4"
"268";0;-1,597;0,238;4;"4"
"269";0;-1,517;0,91;4;"4"
"270";0;-0,684;0,603;4;"4"
"271";0;-1,209;0,297;4;"4"
"272";0;-0,456;1,451;4;"4"
"273";1;0,72;-0,321;4;"4"
"274";1;0,388;-0,961;4;"4"
"275";0;-0,873;-0,165;4;"4"
"276";0;-0,089;0,614;4;"4"
"277";1;0,994;0,185;4;"4"
"278";1;0,402;-0,743;4;"4"
"279";0;-1,02;1,843;4;"4"
"280";0;0,647;-2,44;4;"4"
"281";0;-0,58;1,908;4;"4"
"282";1;0,78;0,04;4;"4"
"283";0;-1,177;-1,047;4;"4"
"284";0;0,005;-0,12;4;"4"
"285";1;2,226;1,092;4;"4"
"286";0;-1,191;2,163;4;"4"
"287";1;1,136;0,105;4;"4"
"288";1;1,437;-2,02;4;"4"
"289";0;-1,233;-1,094;4;"4"
"290";1;-0,802;-1,475;4;"4"
"291";0;-0,677;-0,402;4;"4"
"292";0;-1,361;0,891;4;"4"
"293";0;-0,915;1,817;4;"4"
"294";0;-0,385;-0,917;4;"4"
"295";1;0,17;-0,77;4;"4"
"296";1;2,123;0,81;4;"4"
"297";1;0,553;0,498;4;"4"
"298";0;0,858;-1,341;4;"4"
"299";0;0,412;0,041;4;"4"
"300";0;-0,088;1,087;4;"4"
"301";0;1,292;-0,625;4;"4"
"302";0;-0,024;-0,394;4;"4"
"303";0;0,285;0,736;4;"4"
"304";1;0,726;0,36;4;"4"
"305";0;-0,489;-0,185;4;"4"
"306";1;-0,12;-0,643;4;"4"
"307";0;-1,244;-0,467;4;"4"
"308";0;-0,425;-3,091;4;"4"
"309";0;-0,087;-0,92;4;"4"
"310";1;0,23;0,103;4;"4"
"311";1;-0,024;-1,504;4;"4"
"312";1;-0,933;0,107;4;"4"
"313";0;-1,392;2,961;4;"4"
"314";0;1,487;-0,667;4;"4"
"315";0;-2,447;1,365;4;"4"
"316";1;1,273;-0,342;4;"4"
"317";1;-0,193;1,085;4;"4"
"318";1;0,946;0,016;4;"4"
"319";0;0,323;0,236;4;"4"
"320";0;0,492;0,899;4;"4"
"321";0;-1,364;0,007;5;"5"
"322";1;0,635;-0,457;5;"5"
"323";0;-0,897;-1,881;5;"5"
"324";0;0,05;0,481;5;"5"
"325";1;1,132;0,642;5;"5"
"326";0;0,596;0,262;5;"5"
"327";0;-0,335;1,083;5;"5"
"328";0;-0,204;1,711;5;"5"
"329";0;1,66;-0,528;5;"5"
"330";0;-0,826;0,296;5;"5"
"331";1;-0,244;-0,551;5;"5"
"332";1;0,03;-2,171;5;"5"
"333";0;-0,698;1,655;5;"5"
"334";0;-0,064;-0,181;5;"5"
"335";0;-1,121;0,38;5;"5"
"336";0;0,492;1,203;5;"5"
"337";0;-0,71;2,144;5;"5"
"338";0;0,694;-0,84;5;"5"
"339";0;0,958;0,908;5;"5"
"340";0;-0,189;0,104;5;"5"
"341";0;-1,46;-0,29;5;"5"
"342";0;0,498;-0,374;5;"5"
"343";1;-0,319;0,082;5;"5"
"344";1;1,698;1,614;5;"5"
"345";0;1,553;-0,257;5;"5"
"346";0;-0,698;0,276;5;"5"
"347";0;-1,787;1,598;5;"5"
"348";0;1,704;-0,325;5;"5"
"349";0;0,101;-1,544;5;"5"
"350";0;1,131;1,214;5;"5"
"351";0;-0,382;-0,061;5;"5"
"352";0;0,517;0,479;5;"5"
"353";0;1,085;1,334;5;"5"
"354";0;-1,458;0,666;5;"5"
"355";0;0,025;1,272;5;"5"
"356";1;1,634;0,782;5;"5"
"357";0;-0,35;0,461;5;"5"
"358";0;-0,667;-0,509;5;"5"
"359";0;0,107;0,441;5;"5"
"360";0;-0,097;-1,098;5;"5"
"361";0;-0,745;0,956;5;"5"
"362";0;-1,16;-1,622;5;"5"
"363";0;-0,313;2,059;5;"5"
"364";1;-0,347;-1,872;5;"5"
"365";0;-0,193;-0,41;5;"5"
"366";1;0,855;-0,964;5;"5"
"367";1;-1,822;-1,611;5;"5"
"368";0;0,049;1,071;5;"5"
"369";0;-0,686;0,131;5;"5"
"370";0;-0,178;-1,102;5;"5"
"371";0;-0,276;-0,937;5;"5"
"372";1;-0,274;0,538;6;"6"
"373";1;-1,165;0,025;6;"6"
"374";1;0,73;-0,184;6;"6"
"375";1;-1,899;-1,079;6;"6"
"376";0;-2,128;1,356;6;"6"
"377";0;0,205;1,114;6;"6"
"378";1;0,792;0,701;6;"6"
"379";1;-0,121;-1,609;6;"6"
"380";1;0,429;-1,328;6;"6"
"381";1;-1,661;-1,199;6;"6"
"382";0;-1,638;0,614;6;"6"
"383";1;-1,41;-1,965;6;"6"
"384";1;1,125;-0,289;6;"6"
"385";1;0,907;-1,812;6;"6"
"386";1;-1,333;-0,217;6;"6"
"387";1;-0,607;-2,186;6;"6"
"388";1;0,203;-0,563;6;"6"
"389";1;0,681;1,21;6;"6"
"390";0;-0,485;1,077;6;"6"
"391";1;-0,515;0,352;6;"6"
"392";0;-0,263;0,46;6;"6"
"393";1;0,289;-1,329;6;"6"
"394";1;0,228;0,553;6;"6"
"395";1;0,217;-0,222;6;"6"
"396";1;-1,733;-0,801;6;"6"
"397";1;-0,597;-0,193;6;"6"
"398";0;-1,069;0,838;6;"6"
"399";0;0,115;-0,333;6;"6"
"400";1;1,307;-1,746;6;"6"
"401";1;0,73;-1,632;6;"6"
"402";0;-0,686;1,376;6;"6"
"403";1;-1,096;-1;6;"6"
"404";1;-0,006;0,756;6;"6"
"405";1;-0,065;-0,487;6;"6"
"406";1;-0,667;0,738;6;"6"
"407";0;-0,299;1,025;6;"6"
"408";1;-1,038;-0,51;6;"6"
"409";0;-0,353;1,534;6;"6"
"410";1;0,722;-0,781;6;"6"
"411";1;-0,836;-0,38;6;"6"
"412";1;0,054;-1,695;6;"6"
"413";1;0,248;1,06;6;"6"
"414";0;-0,589;0,856;6;"6"
"415";1;2,093;-2,321;6;"6"
"416";1;0,401;-0,144;6;"6"
"417";0;-0,461;1,089;6;"6"
"418";1;-0,679;-1,474;6;"6"
"419";0;0,203;1,061;6;"6"
"420";1;-1,134;-0,235;6;"6"
"421";1;0,071;-0,765;6;"6"
"422";1;0,732;0,397;6;"6"
"423";1;0,014;0,207;6;"6"
"424";1;-0,941;0,197;6;"6"
"425";1;0,039;-0,389;6;"6"
"426";1;-1,726;-0,193;6;"6"
"427";1;0,138;-0,025;6;"6"
"428";1;-0,514;-1,22;6;"6"
"429";1;-0,905;-0,561;6;"6"
"430";1;0,192;-0,058;6;"6"
"431";1;-0,41;0,355;6;"6"
"432";1;-1,298;0,619;6;"6"
"433";0;-1,665;0,287;6;"6"
"434";1;-0,581;-1,556;6;"6"
"435";1;0,123;-0,187;6;"6"
"436";1;1,055;0,113;6;"6"
"437";1;1,008;1,546;6;"6"
"438";1;0,694;0,121;6;"6"
"439";1;-0,258;-1,446;6;"6"
"440";0;0,029;0,96;6;"6"
"441";1;-0,336;0,315;6;"6"
"442";1;1,857;0,513;6;"6"
"443";1;0,452;-0,344;6;"6"
"444";1;0,631;-0,977;6;"6"
"445";1;0,969;0,933;6;"6"
"446";1;0,542;-0,621;6;"6"
"447";1;1,663;1,038;6;"6"
"448";1;0,226;-0,796;6;"6"
"449";1;-0,708;-1,2;6;"6"
"450";1;1,592;0,516;6;"6"
"451";1;0,119;-0,028;6;"6"
"452";1;0,864;0,965;6;"6"
"453";1;-0,653;-0,658;6;"6"
"454";1;-0,091;-0,15;6;"6"
"455";1;-0,756;0,572;6;"6"
"456";1;0,157;0,903;6;"6"
"457";1;0,148;-0,701;6;"6"
"458";1;-0,667;0,421;6;"6"
"459";0;0,003;0,042;6;"6"
"460";0;-0,38;1,712;6;"6"
"461";1;0,371;-0,852;6;"6"
"462";1;-1;0,379;6;"6"
"463";1;0,086;-0,484;6;"6"
"464";0;-2,527;1,6;6;"6"
"465";1;-0,111;1,058;6;"6"
"466";1;0,717;-0,849;6;"6"
"467";0;-0,581;2,314;6;"6"
"468";1;0,339;-0,425;6;"6"
"469";0;-1,709;1,652;6;"6"
"470";0;0,278;0,043;7;"7"
"471";0;0,668;0,281;7;"7"
"472";1;0,588;0,609;7;"7"
"473";0;0,24;-1,004;7;"7"
"474";0;-0,903;-0,471;7;"7"
"475";0;1,066;0,383;7;"7"
"476";0;-0,835;2,008;7;"7"
"477";0;0,261;-0,17;7;"7"
"478";0;-1,533;0,592;7;"7"
"479";0;-0,366;0,109;7;"7"
"480";1;0,067;-0,244;7;"7"
"481";1;-0,909;-0,235;7;"7"
"482";1;0,787;0,259;7;"7"
"483";0;-1,116;-0,995;7;"7"
"484";0;-0,313;0,521;7;"7"
"485";1;1,07;-0,565;7;"7"
"486";1;0,275;-0,802;7;"7"
"487";0;1,363;-0,167;7;"7"
"488";1;-0,322;0,266;7;"7"
"489";0;-0,251;0,782;7;"7"
"490";1;-1,233;-2,282;7;"7"
"491";1;-0,012;1,057;7;"7"
"492";0;1,584;-0,161;7;"7"
"493";0;-1;1,355;7;"7"
"494";0;0,086;-1,537;7;"7"
"495";1;0,267;1,925;7;"7"
"496";0;-0,299;0,038;7;"7"
"497";0;-1,531;0,705;7;"7"
"498";0;-0,332;0,938;7;"7"
"499";1;-0,007;-0,109;7;"7"
"500";0;-0,662;-0,478;7;"7"
"501";1;1,611;1,086;7;"7"
"502";0;-1,181;1,279;7;"7"
"503";0;-0,234;1,281;7;"7"
"504";1;0,32;-0,274;7;"7"
"505";0;-0,741;-0,282;7;"7"
"506";0;-0,788;1,051;7;"7"
"507";0;0,374;-0,48;7;"7"
"508";0;-0,354;-0,18;7;"7"
"509";0;-0,522;0,608;7;"7"
"510";1;0,215;-0,43;7;"7"
"511";0;-0,074;1,119;7;"7"
"512";1;0,432;2,237;7;"7"
"513";0;-0,464;1,258;7;"7"
"514";0;0,832;0,351;7;"7"
"515";1;-1,342;-0,794;7;"7"
"516";0;0,442;1,274;7;"7"
"517";0;0,45;0,061;7;"7"
"518";1;0,811;-0,47;7;"7"
"519";1;1,905;-0,702;7;"7"
"520";0;0,69;-0,746;7;"7"
"521";0;-3,06;0,322;7;"7"
"522";0;-0,184;-2,374;8;"8"
"523";1;1,734;0,137;8;"8"
"524";0;-0,615;0,138;8;"8"
"525";1;0,433;1,977;8;"8"
"526";0;1,907;-1,646;8;"8"
"527";0;-0,432;0,286;8;"8"
"528";1;0,37;1,197;8;"8"
"529";0;0,135;0,646;8;"8"
"530";0;2,062;-1,778;8;"8"
"531";0;-1,345;0,914;8;"8"
"532";0;-0,554;0,303;8;"8"
"533";1;0,813;0,724;8;"8"
"534";0;-0,106;-0,641;8;"8"
"535";0;1,075;-0,626;8;"8"
"536";0;-0,01;-1,438;8;"8"
"537";0;0,189;-0,191;8;"8"
"538";0;0,383;0,953;8;"8"
"539";0;0,417;-1,178;8;"8"
"540";0;1,632;0,688;8;"8"
"541";0;0,065;-0,51;8;"8"
"542";0;-0,532;-0,531;8;"8"
"543";0;0,337;1,31;8;"8"
"544";0;0,345;-1,501;8;"8"
"545";1;-0,13;0,329;8;"8"
"546";0;-0,269;-0,124;8;"8"
"547";0;0,795;-1,665;8;"8"
"548";0;-0,062;1,085;8;"8"
"549";0;-0,936;0,115;8;"8"
"550";0;-0,061;-0,886;8;"8"
"551";0;0,627;0,535;8;"8"
"552";0;-1,362;-1,439;8;"8"
"553";0;-0,535;-0,365;8;"8"
"554";0;0,825;-1,27;8;"8"
"555";0;0,942;-1,714;8;"8"
"556";0;-0,867;-0,808;8;"8"
"557";0;-1,399;-1,458;8;"8"
"558";0;-0,122;-1,553;8;"8"
"559";1;1,852;0,641;8;"8"
"560";0;-0,461;0,529;8;"8"
"561";1;2,161;0,437;8;"8"
"562";0;1,081;-0,166;8;"8"
"563";0;-0,493;-0,272;8;"8"
"564";0;0,827;0,388;8;"8"
"565";0;0,057;-0,111;8;"8"
"566";0;-1,318;-0,274;8;"8"
"567";0;0,507;-1,034;8;"8"
"568";1;1,331;0,813;8;"8"
"569";1;0,985;1,268;8;"8"
"570";0;-0,391;-1,05;8;"8"
"571";0;0,218;0,581;8;"8"
"572";0;-0,557;0,312;8;"8"
"573";0;0,42;-1,045;8;"8"
"574";0;-0,016;-0,179;8;"8"
"575";0;-0,129;0,787;8;"8"
"576";0;0,932;-0,518;8;"8"
"577";1;0,426;0,459;8;"8"
"578";1;-0,311;0,659;8;"8"
"579";0;0,626;-2,004;8;"8"
"580";0;-0,208;-1,205;8;"8"
"581";0;0,472;0,285;8;"8"
"582";0;0,758;0,684;8;"8"
"583";0;0,144;0,002;8;"8"
"584";0;-0,772;0,146;8;"8"
"585";0;-0,24;-1,176;8;"8"
"586";0;-0,489;0,922;8;"8"
"587";0;0,013;0,492;8;"8"
"588";1;-0,17;2,241;8;"8"
"589";1;0,413;0,328;8;"8"
"590";0;0,285;0,324;8;"8"
"591";0;-0,144;0,545;8;"8"
"592";0;0,685;0,392;8;"8"
"593";0;-0,389;-1,524;8;"8"
"594";0;-0,792;0,359;8;"8"
"595";1;0,403;1,369;8;"8"
"596";0;0,244;-1,007;8;"8"
"597";0;0,148;0,766;8;"8"
"598";0;-0,683;1,29;8;"8"
"599";0;-0,455;0,664;8;"8"
"600";0;1,142;0,037;8;"8"
"601";0;1,762;0,028;8;"8"
"602";1;1,112;0,697;8;"8"
"603";0;-1,043;-1,258;8;"8"
"604";0;-0,261;0,12;8;"8"
"605";0;0,111;1,488;8;"8"
"606";0;-1,374;-1,092;8;"8"
"607";0;-2,127;-1,987;8;"8"
"608";0;-0,441;0,952;8;"8"
"609";1;1,517;2,483;9;"9"
"610";0;-0,693;0,197;9;"9"
"611";1;-0,086;-1,724;9;"9"
"612";1;0,763;-0,369;9;"9"
"613";0;0,108;0,926;9;"9"
"614";1;0,74;0,362;9;"9"
"615";0;-0,644;0,855;9;"9"
"616";1;-1,123;-1,295;9;"9"
"617";0;-0,073;0,547;9;"9"
"618";0;-0,276;0,259;9;"9"
"619";0;-0,595;1,949;9;"9"
"620";1;0,492;-0,306;9;"9"
"621";0;-0,963;-0,088;9;"9"
"622";0;-0,323;0,425;9;"9"
"623";0;-0,13;1,175;9;"9"
"624";1;0,602;-0,203;9;"9"
"625";1;-0,074;-2,103;9;"9"
"626";0;-0,465;0,215;9;"9"
"627";1;0,137;0,077;9;"9"
"628";0;-0,833;0,605;9;"9"
"629";0;0,313;0,022;9;"9"
"630";0;-0,626;0,326;9;"9"
"631";0;1,928;0,639;9;"9"
"632";0;0,444;0,734;9;"9"
"633";1;-0,176;-1,79;9;"9"
"634";0;-2,428;0,664;9;"9"
"635";0;-2,09;1,955;9;"9"
"636";1;-0,177;0,725;9;"9"
"637";0;1,552;0,337;9;"9"
"638";0;-0,769;-0,039;9;"9"
"639";0;0,528;-0,161;9;"9"
"640";0;-0,555;1,228;9;"9"
"641";0;-1,761;0,738;9;"9"
"642";1;0,568;-0,147;9;"9"
"643";0;0,974;-0,823;9;"9"
"644";1;0,38;0,036;9;"9"
"645";0;0,625;0,721;9;"9"
"646";0;0,38;2,162;9;"9"
"647";0;-0,917;1,658;9;"9"
"648";0;-0,277;-0,038;9;"9"
"649";0;0,727;-0,495;9;"9"
"650";1;-0,149;-0,806;9;"9"
"651";0;-0,598;0,934;9;"9"
"652";0;-1,957;0,242;9;"9"
"653";1;0,057;-2,097;9;"9"
"654";1;0,28;-0,268;9;"9"
"655";1;1,542;0,999;9;"9"
"656";1;1,27;-0,481;9;"9"
"657";0;0,371;0,371;9;"9"
"658";0;-1,278;-0,421;9;"9"
"659";1;-1,17;-1,834;9;"9"
"660";0;-0,775;-0,074;9;"9"
"661";0;-0,381;0,839;9;"9"
"662";1;-0,803;-0,654;9;"9"
"663";0;-0,447;-0,045;9;"9"
"664";0;-0,137;-0,547;9;"9"
"665";0;2,636;-0,742;9;"9"
"666";0;0,113;-1,126;9;"9"
"667";1;0,912;-0,251;9;"9"
"668";0;-0,395;0,127;9;"9"
"669";0;-1,358;0,586;9;"9"
"670";0;-0,433;-0,6;9;"9"
"671";0;0,093;0,666;9;"9"
"672";0;-0,907;-1,389;9;"9"
"673";1;0,978;-0,024;9;"9"
"674";0;-0,261;0,367;9;"9"
"675";0;0,07;-0,191;9;"9"
"676";1;0,922;0,1;9;"9"
"677";1;-1,063;0,77;9;"9"
"678";0;-1,275;-0,243;9;"9"
"679";0;-1,699;-0,39;9;"9"
"680";0;-2,168;0,005;9;"9"
"681";1;0,626;-1,666;9;"9"
"682";0;1,684;0,508;10;"10"
"683";0;0,808;-0,153;10;"10"
"684";0;2,365;-0,313;10;"10"
"685";0;1,431;-0,212;10;"10"
"686";0;0,11;-1,178;10;"10"
"687";0;-1,094;-0,259;10;"10"
"688";0;0,28;-0,08;10;"10"
"689";0;-0,171;0,044;10;"10"
"690";0;0,681;-0,244;10;"10"
"691";0;-0,765;1,86;10;"10"
"692";0;-1,272;1,75;10;"10"
"693";0;-0,522;-0,807;10;"10"
"694";0;-1,463;-0,23;10;"10"
"695";0;0,726;-0,427;10;"10"
"696";0;0,105;-2,017;10;"10"
"697";0;-0,056;0,097;10;"10"
"698";1;-1,69;-1,222;10;"10"
